what,kind,bundleId,bundleVersion,description,time
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 Lesson27",1291507181934
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 1 Lesson28",1291507181935
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 Lesson29",1291507181935
error,log,,,"Publishing failed",1291507181939
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291507182182
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291507198468
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291507202101
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1291507215570
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291507218406
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291507218461
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291507235152
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.publish",1291507240883
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 1 Lesson27",1291507240884
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291507241224
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 1 Lesson28",1291507241530
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 Lesson29",1291507241533
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291507242238
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291507251887
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291507538791
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291507543030
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291507545778
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291507545837
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291507545965
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291507545969
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 Lesson27",1291507545970
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 Lesson28",1291507545972
error,log,,,"GlassFish: publishModule kind= 2  deltaKind=3 1 Lesson29",1291507545978
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291507551230
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291507729435
