what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1291744517917
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1291744517952
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291744535678
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291744535884
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291744561604
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291744568361
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291744585213
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291744659644
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291744668945
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291744672647
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291744674620
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291744678061
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291744678139
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291744691590
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 Lesson32",1291744696527
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 Lesson34",1291744696588
error,log,,,"GlassFish: publishModule kind= 2  deltaKind=1 1 Lesson35",1291744696601
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291744696607
error,log,,,"GlassFish: deploy is failing=",1291744697631
error,log,,,"cannot Deploy Lesson35",1291744697635
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291744697743
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291744793434
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291744796866
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291744808828
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291744820081
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291744823360
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291744977547
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1291744977640
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291744980502
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291744986034
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291745002467
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.stop",1291745004228
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1291745009571
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291745010557
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291745026619
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 Lesson32",1291745026624
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 Lesson34",1291745026636
error,log,,,"GlassFish: publishModule kind= 2  deltaKind=2 1 Lesson35",1291745026638
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291745026865
error,log,,,"GlassFish: deploy is failing=",1291745027387
error,log,,,"cannot Deploy Lesson35",1291745027392
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291745027625
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1291745048966
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291745116642
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291745120416
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291745148640
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291745152711
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291745183043
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291745183108
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291745186156
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291745476534
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1291745476596
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291745483279
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.publish",1291745488124
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 Lesson32",1291745488126
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 Lesson34",1291745488173
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 1 Lesson35",1291745488181
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291745488531
error,log,,,"GlassFish: deploy is failing=",1291745488690
error,log,,,"cannot Deploy Lesson35",1291745488726
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291745493098
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.stop",1291745496123
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291745504818
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291745506861
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291745512061
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1291745512129
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291745523930
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291745585657
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291745637727
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1291745643445
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291745644615
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291745656943
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 Lesson32",1291745659300
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 Lesson34",1291745659310
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 1 Lesson35",1291745659312
error,log,,,"GlassFish: deploy is failing=",1291745659986
error,log,,,"cannot Deploy Lesson35",1291745659988
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291745660168
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291745667657
