what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415276383
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415304862
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415307326
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415538218
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415540463
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415559976
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291415566176
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415572548
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415584031
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415591421
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415601393
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415606525
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415631683
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291415657336
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415671590
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415775784
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415778286
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291415839053
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415839122
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291415839963
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291415840055
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291415841322
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415845591
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1291415845703
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415846606
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415857466
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291415896690
