what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1290950120508
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1290950120525
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1290950120537
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1290950120606
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1290950120647
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1290950120994
opened,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1290950121345
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1290950121383
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1290950121511
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290950121573
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1290950126842
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1290950130689
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1290950130692
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1290950130737
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1290950130748
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1290950130884
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1290950130907
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1290950131185
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290950134802
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1290950143935
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290950145105
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1290950146575
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1290950146683
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1290950146811
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1290950147141
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1290950153524
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.0.v201004262257,"org.eclipse.jst.ws.jaxws.ui",1290950154325
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1290950154332
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1290950154419
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1290950154433
started,bundle,org.eclipse.jst.ws.annotations.core,1.0.0.v201004262257,"org.eclipse.jst.ws.annotations.core",1290950154645
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1290950166525
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290950213751
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290950280592
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290950284044
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290950287551
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290950290457
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290950293625
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290950322686
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1290950554463
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290950554498
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290950559159
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290950745770
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1290950758628
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1290950759060
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1290950759085
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1290950764322
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1290950764410
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1290950766416
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290950772831
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290951662564
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1290951662584
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1290951665400
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290951677817
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290951736924
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290951740823
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290951747818
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290951754077
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290951871800
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290951878465
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290951886785
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290951888553
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290951892177
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290951910737
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290951923296
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1290951935227
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1290951935317
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1290951935317
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290951950395
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290951958716
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1290951958892
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1290951958962
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1290951966092
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1290951967080
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1290951977629
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290952013941
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.showInformation",1290952013972
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290952023377
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290952072629
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1290952113387
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290952113421
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290952122158
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290952122211
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290952150904
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290952161296
