what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291736336496
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1291736336778
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1291736336788
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1291736336924
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1291736336964
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.401.v201007150400,"org.eclipse.jst.j2ee.ejb",1291736336991
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1291736337010
opened,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291736353661
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291736353686
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1291736361541
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291736362937
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291736380225
error,log,,,"GlassFish: IsReady is failing=",1291736404017
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291736409993
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291736410171
error,log,,,"GlassFish: publishModule kind= 2  deltaKind=2 1 Lesson32",1291736410290
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291736418365
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291736420285
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291736431955
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291736432652
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291736432742
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291736443219
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291736459919
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291736536830
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 Lesson32",1291736547783
error,log,,,"GlassFish: publishModule kind= 2  deltaKind=1 1 Lesson34",1291736547819
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291736547914
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291736576151
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291736577576
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291736660080
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291736704660
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291736704720
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291736714450
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291736727975
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291736752029
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291736752074
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291736754298
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291736761617
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291736846318
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291736846370
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.publish",1291736850656
