what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291675183455
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291675183521
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291675195605
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291675199247
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291675216577
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291675221847
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291675230633
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291675234607
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1291675234697
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1291675234798
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1291675234825
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291675243001
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291675243214
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291675248472
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291675318432
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291675320282
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291675324757
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1291675325378
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291675332834
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1291675332834
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291675338147
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291675363378
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291675396827
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1291675404131
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291675417126
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291675446048
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291675466635
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291675469623
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291675474259
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.publish",1291675479985
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 1 Lesson32",1291675479987
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291675480337
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291675480661
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291675483504
