what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480448102
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480454335
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480468252
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480475976
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480527305
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480527360
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480541890
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480551895
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480551969
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480562152
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480567988
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480568051
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480582721
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291480619814
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480619887
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480623901
error,log,,,"GlassFish: publishModule kind= 2  deltaKind=1 1 Lesson27",1291480628508
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480628611
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480635486
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480677461
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480680891
error,log,,,"GlassFish: publishModule kind= 2  deltaKind=3 1 Lesson27",1291480685721
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480685831
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480689467
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480694410
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291480702521
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291480711726
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480716907
error,log,,,"GlassFish: publishModule kind= 2  deltaKind=1 1 Lesson27",1291480721958
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480722170
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480732517
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480766737
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291480777013
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291480784525
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291480784707
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480846544
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480924305
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480927510
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480927593
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480966251
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480978043
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291480996494
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291481013139
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1291481015295
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1291481035287
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.views.showView",1291481035293
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291481063458
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291481200155
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291481201274
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291481249225
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291481258507
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1291481269303
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291481269362
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1291481269394
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1291481270937
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291481288856
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291481300474
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1291481300985
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1291481301179
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1291481301572
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1291481301669
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291481304613
