what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291423728540
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291423748810
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291423748999
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291423776594
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291423776793
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291423876285
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291423876497
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291423876556
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291423981488
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291423985018
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291423987172
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291423989352
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291423995625
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291423999228
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1291424009709
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1291424018476
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291424026432
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291424032609
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291424042425
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291424048178
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1291424055029
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291424060243
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291424062514
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291424075462
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291424075540
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291424083101
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291424085474
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291424109739
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291424113095
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291424118814
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1291424123178
