what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1291065151829
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1291065151883
started,bundle,org.eclipse.jem.util,2.1.2.v201008120100,"org.eclipse.jem.util",1291065151887
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1291065151890
started,bundle,org.eclipse.wst.common.modulecore,1.2.3.v201008242000,"org.eclipse.wst.common.modulecore",1291065151913
started,bundle,org.eclipse.jst.j2ee.core,1.2.2.v201008120100,"org.eclipse.jst.j2ee.core",1291065151916
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1291065151927
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1291065151943
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1291065151951
started,bundle,org.eclipse.jst.j2ee,1.1.402.v201009151730,"org.eclipse.jst.j2ee",1291065151971
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1291065152281
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1291065152599
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1291065152766
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291065153348
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1291065153418
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291065153495
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291065157268
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291065164012
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291065166917
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1291065166957
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291065176900
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291065203328
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291065209936
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291065221658
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291065225835
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1291065225861
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291065231932
